Inrō	Community	Turn Claude into your Instagram automation operator. Manage your content and automate comments and DMs through Inrō.
PDF Viewer	(none)	Demo PDF viewer that renders PDFs from allowed URLs like arxiv.org
Growrk	New Community	IT asset and device lifecycle management for distributed teams, right inside Claude.
Chatmu	New Interactive Community	Analyze artists, distribute music, pitch curators, make videos, post to social and schedule your promo.
Alice Flights	Interactive Community	Search and book flights with Alice, Israel's top travel and flights provider, without leaving your chat.
Revelata deepKPI	New Community	Detailed financial and operational KPIs, company summaries and segments, and filing text for US SEC listed companies, with 1-click source provenance.
ChargeHub	New Community	Find EV charging stations across North America, with live port status, pricing, and connector details.
MindMap	Interactive Community	Turn AI insights into interactive mind maps
TrueProfit	New Interactive Community	Connect TrueProfit to Claude
Bassethound	Interactive Community	Sniff out deep company intelligence on any domain
Magicweave	Community	Design, validate, simulate, and one-click-build complete game economies & backend from a plain-English brief.
SELLIT9	New Community	From clutter to currency: get an instant device quote and sell it without leaving the conversation
Optilogic	New Community	AI-driven supply chain design and decision intelligence
Partner.io	Community	Run your partner program
Vani by Zoho	(none)	Create diagrams, visualize workflows, and manage Spaces in Vani.
Orb	Community	Real-time and historical network and internet experience insights
Wren AI	New Interactive Community	Turn questions into insights. Wren AI connects Claude to your data warehouse so anyone can get accurate, governed answers through conversation.
Yolodex	New Community	Creative intelligence for teams running Meta ads
CloudEagle MCP	Community	One Command Center for SaaS, AI, and Identity Governance
Stem	Community	Every AI in one brain. Connect a brain to your AI.
DodgePrint	Community	Multi-Channel POD Operations Platform for print-on-demand sellers
Everythings	New Community	Organize chat information into nestable 'things', similar to mobile home screen icons.
Noibu	New Interactive Community	From insight to code generated action. Turn Claude into your ecommerce team's always-on analyst. Live access to your store's sessions, funnels, heatmaps, errors, and performance data from Noibu.
Patsnap Patent & Literature Search (OAuth)	Community	Unified natural-language/semantic/keyword search across Patsnap's global patent and literature databases, with pre-filtering and Markdown bibliographic data retrieval.
Capsule CRM	New Community	Chat with your CRM to get instant customer insights
Vibsync	Community	Long-term team memory and live work context for AI coding agents.
drawnames	New Interactive Community	Organize your Secret Santa
Project Desk	Community	The agent-native work desk your AI keeps truthful.
Sitelas	Community	The website builder for AI agents. Claude designs your site, publishes it live, then runs it — edits, contact-form replies, analytics.
Templafy	New Interactive Community	From prompt to business-ready documents
Juicy attribution & profit	Community	Analyze your Shopify profits, costs, and marketing attribution.
Oviond	New Community	Build, update, and analyze client marketing reports and dashboards across 100+ data sources. Create reports, query live campaign data, generate PDFs, and automate reporting.
Fospha (EMEA & APAC)	New Community	Access your Fospha marketing analytics — ad spend, ROAS, channel performance, campaigns, revenue attribution, and budget forecasts — using your Fospha login.
Fospha (North & South America)	New Community	Access your Fospha marketing analytics — ad spend, ROAS, channel performance, campaigns, revenue attribution, and budget forecasts — using your Fospha login
MaidPad	Community	Ask your cleaning business what's going on — revenue, schedule, who owes you money and more, answered straight from your own MaidPad account.
Grw	New Community	Get your whole team selling like your best rep
Coval	Community	Test and improve AI agents with Coval
More Good Reviews	New Community	See how your reputation is trending on Google and other sites, send review requests to customers, and reply to reviews.
Wisdom Recall	New Community	We make AI your superpower™
Upspring	Community	Ad creative intelligence — yours and your market's
3DOptix optical design and simulations	New Community	Design, simulate and analyse optical systems with GPU-powered ray tracing. Build setups from the 3DOptix catalog, run irradiance, PSF and MTF analyses, and import designs from Zemax or CAD.
kernelCAD	Community	Parametric CAD with STEP/STL export. Build things.
Square Yards	New Interactive Community	Discover, compare, and analyze Indian real estate—from listings and projects to localities and home loans—via Square Yards.
1Social	New Community	Publish and schedule posts to Instagram, TikTok, LinkedIn, X, Facebook, Threads and Bluesky — and see what actually landed on each one.
Beeline Workspace	New Community	Manage your Beeline workspace from Claude — courses, learner groups, job roles, and workforce insights, all in one connector.
Tseha.io	New Community	Your coding standards, live in Claude
PHS Pallets	New Community	Shop plastic pallets with live pricing, get freight-included quotes, and track or reorder shipments — from chat.
StatsDeck	Community	Smarter fantasy football
Pantry Persona	New Interactive Community	Meal plans, recipes, and a pantry that remembers.
smarts.bio	Community	A real bioinformatics platform in Claude. Describe your analysis in plain English and run actual tools and pipelines on your own data, no scripting or setup required.
ChangeThisFile	Community	Convert any file between 690+ formats. Free, no auth.
Algolia Productivity	New Community	Connect LLM tools to your Algolia account with user-scoped access for internal workflows.
Gridbert	New Community	Was dein Chatbot über deine Energie nicht weiß: österreichische Stromtarife, Netzkosten und dein Verbrauch - gerechnet statt geraten.
FlowyTeam	Community	Manage tasks, projects, OKRs, employees, and attendance in your FlowyTeam workspace using natural language.
GlacierGrid	New Community	Your HVAC, refrigeration and energy data, in Claude
Macaly	(none)	Turn a prompt into a live web app. Create, iterate on, and deploy Macaly apps directly from Claude.
Chariot	Community	Manage your nonprofit's DAF donations and deposits
PlayMCP	(none)	Connect and use PlayMCP servers in your toolbox
Rill	Community	Query and explore metrics in your Rill project
Brisk Teaching	Interactive	Turn your ideas into interactive student activities, standards-aligned materials, and teaching resources
G2	(none)	Bring real buyer signals into AI workflows
Cordelia Cruises	New Interactive Community	Search Cordelia cruises, itineraries & book
다나와 가격비교	Community	여러 쇼핑몰, 다양한 상품의 가격과 스펙을 한 번에 비교하고 구매만 결정하세요.
Grid Control	New Community	Search and analyze your outsourced service orders operations
Canvs.io	Interactive Community	Sketch and draw with AI on the Infinite canvas.
viaNexus vAST	(none)	Power AI workflows with viaNexus. A financial data marketplace delivering real-time prices, historical prices, financial news, and fundamentals directly from our trusted data provider partners.
LeapMemory	New Community	Permanent, private memory for Claude.
SenderKit	New Community	Send email, SMS, push, and web-push from Claude — and give your agents an inbox they can read, closing the loop on every message.
WalkMyPlan — AI Home Design & 3D Floor Plans	Community	Design your floor plan in chat, get a 3D link to walk through it — then tell the chat what to change, or sketch it yourself right in the link. DWG and PDF plans convert too.
Builder.io CMS	New Community	Create, edit, and manage content in Builder.io CMS directly from Claude.
Ninout	New Community	Design, publish, and analyze forms entirely in chat
IndiaMART - B2B Marketplace	Interactive Community	Find verified Suppliers, Manufacturers, Exporters
Superhuman Docs	(none)	Create, search, update docs and tables
Siit AI service desk	New Community	Run your internal service desk from Claude. Requests, employees, equipment, app access and knowledge base, all from Siit.
Zendrop	New Community	Manage your dropshipping business in Claude
Decision Matrix	Community	Decision Matrix helps Claude run structured, criteria‑based evaluations so teams can make and defend complex decisions with confidence.
Goodnotes	Interactive	Turn AI insights into documents
Alloy	New Community	AI Prototyping, Website Cloner, and Cloud Agents Platform
Mobbin	Community	Find UI & UX design references
Tweek	Community	Manage your Tweek weekly planner — read and update tasks and calendars from Claude
AlphaSights	Community	Direct access to expert knowledge
MyEmailVerifier	New Community	Real-time email verification and deliverability checks
Nifty	New Community	Track inventory, orders, and profit across eBay, Poshmark, Depop, and more
Phrase	New Community	The World's Leading Language Intelligence Platform
Stark	Community	Manage projects, remediate issues, and track your accessibility compliance
OnMessage	New Community	Create on-brand content across every team and channel
Demandbase	New Community	B2B Intelligence for GTM
Pi Security	New	Agentic product security platform
Pinegap	(none)	AI-powered Equity Research Platform
StopChurn	Community	Turn Claude into your retention marketing copilot: draft on-brand email, SMS & WhatsApp campaigns, build customer segments, schedule broadcasts, and launch automated journeys via StopChurn marketing.
inblog	New Community	Draft, preview, publish, and measure posts on your inblog blog without leaving the chat.
Lance App Manager	New Community	Claude can't see App Store Connect. Lance can: an operator on a real Mac that reads your live account, fixes rejections, sets up IAPs, and ships TestFlight builds from a git push; no Mac/Xcode needed
Strella	New Interactive Community	Deep customer insights from AI interviews
Sprinto MCP	New	Manage trust workflows
OnePageCRM	New Community	Create, search, update, and manage data in OnePageCRM.
AMZScout Skill + MCP	New Community	Product & keyword research, powered by live Amazon data
Measure Studio	New Community	The AI social media analyst. Your posts, ads, and competitors analyzed. Get creative insights, create branded social media reports, and more.
Airepoto	New Community	Find, read, and summarize your Airepoto meetings.
Dalea - Research Orchestration Platform	Community	Claude works directly in your Dalea workspace; search, author lab documents, design and query data, record results, build addons and manage inventory, with reads and writes as separate, labeled tools.
appfollow	New Community	Connect AppFollow to your AI assistant via MCP.
zeroheight	Community	Reference zeroheight design system context
Pappers France	New Community	Données entreprises, justice, immobilier & politique
Era Context	Interactive	Manage your personal finances using Claude
OneSignal	(none)	Agentic access to OneSignal's customer engagement platform for messaging, users, and analytics.
Three.js 3D Viewer	(none)	Demo 3D viewer that renders interactive 3D scenes and models using Three.js
SE Ranking	New Community	SEO & AI search intelligence
Bigdata.com	(none)	Finance research, news & data
Blaze SQL	Interactive Community	Let claude query any SQL Database or warehouse with accuracy, context, governance, and observability. BlazeSQL is a full BI Layer with visualizations, dashboards, scheduled reports, and more.
Google Compute Engine	(none)	MCP server for Google Compute Engine
Just Domain.	Community	Search domain names and prices, straight from chat.
Blue Pillow Hotels & Stays	Community	The first neutral price comparison layer for AI agents. Live hotel & stay prices, availability and cancellation flags from 16+ booking sites. No signup.
Teamtailor	(none)	Chat with your recruitment data: jobs, candidates, pipelines, and todos from Teamtailor.
LocalBeat	Community	Search local events across the US by place, date, and type
v0	(none)	Build Full-Stack Web Apps with AI
Customer.io	(none)	Explore customer data and generate insights via Claude
Hostinger Mail	Community	Manage your Hostinger Mail inbox — search messages, send email, and organize folders without leaving chat
Lenz	Community	An independent fact-checking layer for AI output. A sourced verdict for any factual claim — a fast check or the full eight-model trace.
Chargebee	(none)	Live billing intelligence for your revenue team
Streak	New Community	Streak CRM for Gmail
UseMyContext.ai	Community	Your personal context in every AI chat - profile and files Claude reads so you never re-introduce yourself. Private, audited, revocable in one click.
DocHub	Interactive Community	Create, sign and manage documents.
TickTick	(none)	Search, create and manage your tasks/habit it TickTick.
Keyword Tool: Free SEO Keyword Research	Community	Free keyword research in Claude - no signup. Turn a seed into hundreds of keyword ideas from Google & Bing, with search volume, competition & trends on top results. SEO keyword tool for content & PPC.
Metaview	(none)	The AI platform for recruiting.
Postbeam	New Interactive Community	Manage social media & LinkedIn posts using chat. Draft, review, schedule posts in your voice, track analytics performance, and more.
BreckenWander	Community	Search flights, hotels, and experiences at all-in prices — taxes and mandatory fees included up front — then book on breckenwander.com.
Omni Analytics	(none)	Query your data using natural language through Omni's semantic model
elluminate	New Community	elluminate AI Evaluation & Observation Platform by ellamind
Proposal App	Community	ProposalApp is a government contracting platform that brings opportunity discovery, capture management, market intelligence, and proposal generation into a single workflow.
Orca Security	New Interactive Community	Extend the Orca Platform to Claude. Every response is grounded in Orca's Unified Data Model (not raw data streams) with reachability, blast radius, and business impact factored in.
Aiso	Community	Track and optimize your brand's visibility across AI search engines like ChatGPT, Gemini, and Perplexity.
OpsLevel	Community	OpsLevel MCP Server
PDQ Connect	Community	Search and deploy software across your managed Windows and macOS fleet without leaving your conversation.
MerchantSpring	Community	Marketplace intelligence for agencies and brands - sales, profit, advertising, inventory, traffic, Buy Box, and customer analytics across Amazon, Walmart, eBay, and 120+ channels.
LibreJustice	Community	French case law and legal texts
JobDataLake	Community	Search 1M+ jobs from AI. Free, no signup required.
Vidalytics	New Community	Ask Claude about your Vidalytics videos: stats, drop-off, CTAs, folders, and publishing - without leaving chat.
Ubersuggest	New Community	Keyword research, competitor analysis, backlinks, site audits and AI search visibility — powered by Ubersuggest.
Margins	Community	Your business financial brain. Talk to every number in your business, in real-time
Slatemark	Community	No signals. Receipts. Trade journal and primary sources
HTMLvault	Community	Turn AI-generated HTML into a trackable, shareable link.
PDF.net	New Interactive Community	Generate and edit pdfs
Almosafer.com	Interactive Community	Find flights, hotels and more
Legal Data Hunter	(none)	Search 23M+ legal docs in 160+ jurisdictions.
Constructable	Community	Manage construction projects
AdvisorPPC - Google Ads, Analytics, Tag Manager, Search Console and YouTube Connector	New Community	Google marketing tools in Claude
Wego	Interactive Community	Find cheap flights & hotels
Yirla	New Community	Competitor ad intelligence and campaign analytics for LinkedIn, Google, YouTube, Meta, Reddit, and TikTok ads.
Omnisend MCP	Community	Analyze your Omnisend marketing performance
SmartHome CRM	Community	Gestiona tu CRM inmobiliario desde Claude: prospectos, clientes, ventas y pagos con lenguaje natural.
Diffit	Interactive	Quality, classroom-ready resources for anything
Canny	New Community	Capture and analyze feedback
Trove	New Community	Capture your career story and validate it with coworkers
Play Sheet Music	Interactive	Ask Claude to generate and play some sheet music for you with a visual component
SyncWith	New Community	Query your marketing & commerce data in Claude
Marcora: Brand Context & Writing	Community	The context layer for GTM teams. One source of truth for brand and company context, so your whole team produces consistent, on-brand content in any AI tool.
Alpix	New Interactive Community	Draw pixel art on a shared canvas
Certifier	New Community	Issue certificates and badges
GoBlinkly	Community	Access your GoBlinkly SEO, AEO, analytics, and content workflows directly from Claude.
Vibe AI	Community	Find meeting notes and memory
ラッコキーワード	New Community	日本語検索に強いSEOキーワードリサーチ。サジェスト取得、月間検索数・SEO難易度、検索順位チェック、競合サイト分析、サイトの獲得キーワード・推定流入の調査に対応。
Remote Desktop Commander	Community	Build, explore, automate on your computer from anywhere
Autron	New Interactive Community	Analyze and act on your Amazon advertising data
post bridge - social media scheduler	Community	Schedule and publish posts to your social media platforms all from one place
Coteach	Interactive	Create classroom-ready K-12 math diagrams in Claude
Gainsight (Staircase AI)	(none)	Power AI Workflows with Customer Context
DealTraq	Community	Research and manage your deal pipeline — pull company profiles, diligence docs, meeting transcripts, and pipeline metrics, then propose or execute company actions directly from Claude.
Send	Interactive	Create HTML in Claude. Share it with Send.
Peaka	New Community	The fast lane to AI-ready data
SciSpace	Interactive Community	Discover scientific research papers
Beautiful.ai	Interactive Community	Turn ideas into beautiful presentations.
EconomyBookings	Interactive Community	Search car rentals worldwide with EconomyBookings
Postproxy	New Community	Publish, schedule, and manage social media across every connected account — plus comments, DMs, and analytics — without leaving Claude.
Abency	Community	Gestiona todas las marcas de tu agencia desde Claude
SiteGPT	Community	Manage AI support chatbots from your AI assistant
Stacklist	New Community	Search, curate, and analyze Stacklist content
Planable	New Community	Plan, approve, publish, and analyze social content
Entendre	(none)	Manage accounting and reporting with agents
Tally	New Community	Create beautiful forms
Advanced GSC	Interactive Community	Search Console & GA4 data for SEO — audits, reporting, backlinks, and SERP analysis
Zernote	Interactive Community	Upload and work with User interviews inside Claude. Upload(up to 2GB) -> Transcribe -> Get insights
Churn Solution	New Community	Churn prevention and customer retention tools.
Redo	New Community	Manage commerce operations
Charts by Szum	Interactive Community	Turn data into polished charts
Upbuild	Community	Query your marketing and analytics data in natural language
Aha!	Community	Bring product strategy and planning data into Claude
Tango	(none)	Search for US Government Contracting Data
Adlicio	New Interactive Community	Turn customer comments into ad angles
Agently	New Community	Give your agents your company's memory
Soundcharts	Community	Actionable Data for the Music Industry
GReminders	Community	AI Assistant for Financial Professionals
Leexi	New Community	Turn your sales calls into answers. Search, summarize, and act on every conversation Leexi has recorded.
GetYourGuide	New Interactive Community	Book Tours & Activities
AfterShip Channels for TikTok Shop	(none)	List, sync & grow your TikTok Shop business
Peec AI	(none)	Analyze your brand's visibility across LLMs
AirOps	(none)	Craft content that wins AI search
mailnix	New Community	forms and email with your mta
Adspirer Ads & Performance Marketing Agent	New Interactive Community	Your performance marketing and paid media agent — an Agent that plans, launches, and autonomously runs your ad campaigns across Google, Meta, LinkedIn, TikTok, and more.
Jotform Sign	Interactive Community	Create, share, and edit e-signature documents right inside Claude
Kalender-Sync	New Community	Privacy-first calendar access across Google, Microsoft/Outlook, Apple iCloud, GMX, WEB.DE and other CalDAV services — GDPR-compliant.
ScalperIntel AI	New Community	Product answers & license self-service for NinjaTrader
Open Context	Community	Store and retrieve context
DirectBooker	Interactive	Find great hotels, then book direct. Search, availability, and reservations.
